# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	117005
#@/user_id	659ce483-6874-4023-8d26-0ead44d09818
a 	啊	c=626 d=2.12741 t=116984
peng 	鵬	c=24 d=0.000242757 t=116978
peng dao 	碰到	c=1 d=0.00302755 t=116978
peng ke 	朋克	c=0 d=1.31645e-59 t=116978
peng pai 	澎湃	c=0 d=4.19526e-165 t=116978
peng pai xin wen 	澎湃新聞	c=1 d=4.21629e-164 t=116978
peng peng 	鵬鵬	c=12 d=3.57311e-11 t=116978
peng tou 	碰頭	c=1 d=6.21633e-55 t=116978
peng you 	朋友	c=6 d=0.00322318 t=116978
peng you shuo 	朋友說	c=1 d=0.00104891 t=116978
peng zhang 	膨脹	c=1 d=2.36261e-56 t=116978
peng zhuang 	碰撞	c=1 d=6.26346e-85 t=116978
peng zi 	棚子	c=1 d=2.673e-67 t=116978
pi 	批	c=15 d=5.52784e-30 t=116978
pi 	皮	c=1 d=0.00167826 t=116978
pi chu li 	批處理	c=1 d=3.28932e-08 t=116978
pi fu 	皮膚	c=5 d=0.965605 t=116978
pi fu bing 	皮膚病	c=1 d=1.34468e-43 t=116978
pi hua ting 	皮划艇	c=1 d=2.09701e-06 t=116978
pi liang 	批量	c=8 d=0.00509243 t=116978
pi liang tong zhi 	批量通知	c=1 d=1.15184e-16 t=116978
pi lou 	紕漏	c=1 d=1.15102e-37 t=116978
pi pei 	匹配	c=6 d=2.34323e-18 t=116978
pi ping 	批評	c=3 d=1.00236e-86 t=116978
pi ping zhi zheng 	批評指正	c=1 d=5.3603e-106 t=116978
pi qi 	脾氣	c=2 d=1.92672e-39 t=116978
pi yao 	闢謠	c=1 d=5.60607e-104 t=116978
pi zhu 	批註	c=1 d=0.0323869 t=116978
pi zhun 	批准	c=3 d=1.49696e-11 t=116978
pian 	偏	c=9 d=0.0528657 t=116978
pian 	片	c=5 d=2.55859e-23 t=116978
pian 	篇	c=15 d=1.039 t=116978
pian 	騙	c=3 d=8.35181e-47 t=116978
pian cha 	偏差	c=6 d=4.18653e-22 t=116978
pian da 	偏大	c=1 d=7.6359e-63 t=116978
pian fu 	篇幅	c=3 d=3.89275e-19 t=116978
pian fu shang 	篇幅上	c=1 d=2.11578e-52 t=116978
pian guo 	騙過	c=1 d=1.28994e-54 t=116978
pian li 	偏離	c=1 d=6.88276e-106 t=116978
pian qu 	片區	c=1 d=2.64244e-20 t=116978
pian ren 	騙人	c=4 d=3.07426e-36 t=116978
pian wo 	騙我	c=5 d=0.000694444 t=116978
pian xiang 	偏向	c=4 d=4.36569e-15 t=116978
pian xiang yu 	偏向於	c=1 d=6.57452e-67 t=116978
pian yi 	便宜	c=19 d=0.00456875 t=116978
pian yi dian 	便宜點	c=1 d=1.2536e-12 t=116978
pian yi yi dian 	便宜一點	c=1 d=2.9826e-121 t=116978
pian zhong 	偏重	c=1 d=4.25994e-50 t=116978
pian zi 	片子	c=1 d=5.07464e-50 t=116978
pian zou 	騙走	c=1 d=0.103312 t=116978
piao 	嫖	c=2 d=3.47001e-09 t=116978
piao 	票	c=9 d=0.00299743 t=116978
piao 	飄	c=1 d=4.47987e-54 t=116978
piao jia 	票價	c=1 d=1.0921e-154 t=116978
piao ju 	票據	c=1 d=6.77518e-09 t=116978
piao liang 	漂亮	c=1 d=1.98419e-120 t=116978
piao liu 	漂流	c=2 d=2.10332e-05 t=116978
piao piao 	票票	c=1 d=5.44281e-168 t=116978
piao qi lai 	飄起來	c=1 d=4.90363e-176 t=116978
piao qie 	剽竊	c=1 d=1.81143e-19 t=116978
piao yang 	飄揚	c=1 d=6.18994e-05 t=116978
piao yi 	漂移	c=1 d=7.38104e-46 t=116978
pie pi 	撇皮	c=1 d=1.70155e-165 t=116978
pin 	品	c=1 d=3.5143e-52 t=116978
pin 	拼	c=2 d=1.10303e-36 t=116978
pin bo 	拼搏	c=1 d=1.59289e-124 t=116978
pin ci 	頻次	c=1 d=1.69375e-111 t=116978
pin duo duo 	品多多	c=2 d=1.09753e-36 t=116978
pin fan 	頻繁	c=1 d=0.000461975 t=116978
pin fu cha ju 	貧富差距	c=1 d=5.97462e-59 t=116978
pin jie 	拼接	c=1 d=2.10781e-37 t=116978
pin kuan 	頻寬	c=1 d=5.44965e-124 t=116978
pin lv 	頻率	c=3 d=1.07824e-40 t=116978
pin pai 	品牌	c=5 d=1.61625e-60 t=116978
pin xie 	拼寫	c=1 d=3.74266e-27 t=116978
pin yin 	拼音	c=7 d=1.92168 t=116978
pin yong 	聘用	c=1 d=3.3064e-157 t=116978
pin zhong 	品種	c=1 d=1.48157e-154 t=116978
ping 	屏	c=4 d=3.10199e-24 t=116978
ping 	平	c=5 d=1.26745e-53 t=116978
ping 	瓶	c=1 d=0.826959 t=116978
ping 	萍	c=1 d=7.52911e-15 t=116978
ping 	評	c=3 d=8.19122e-36 t=116978
ping an 	平安	c=4 d=3.0923e-47 t=116978
ping an guo ji 	平安國際	c=1 d=3.1078e-46 t=116978
ping ban 	平板	c=1 d=1.0697e-28 t=116978
ping bao 	屏保	c=1 d=8.69746e-65 t=116978
ping bi 	屏蔽	c=2 d=1.01625e-05 t=116978
ping ce 	評測	c=2 d=4.81156e-12 t=116978
ping chang 	平常	c=1 d=3.20527e-27 t=116978
ping fang 	平方	c=5 d=5.05205e-24 t=116978
ping fen 	評分	c=1 d=1.25484e-53 t=116978
ping gu 	評估	c=11 d=9.75642e-05 t=116978
ping guo 	蘋果	c=12 d=6.98308e-08 t=116978
ping he 	平和	c=0 d=1.13169e-74 t=116978
ping heng 	平衡	c=16 d=7.63512e-07 t=116978
ping heng sun shi 	平衡損失	c=1 d=6.85982e-08 t=116978
ping heng xing 	平衡性	c=1 d=4.44876e-119 t=116978
ping hua 	平滑	c=3 d=1.52036e-17 t=116978
ping ji 	評級	c=1 d=0.0875977 t=116978
ping jia 	評價	c=3 d=9.98777e-16 t=116978
ping jie 	憑藉	c=1 d=4.80357e-110 t=116978
ping jun 	平均	c=20 d=0.904837 t=116978
ping jun fen 	平均分	c=1 d=1.04166e-39 t=116978
ping jun zhi 	平均值	c=1 d=6.82008e-116 t=116978
ping lun 	評論	c=2 d=2.63105e-28 t=116978
ping mu 	屏幕	c=8 d=2.59991e-35 t=116978
ping pan 	評判	c=1 d=2.85e-86 t=116978
ping pu 	平鋪	c=1 d=3.95377e-143 t=116978
ping ri 	平日	c=0 d=2.26927e-24 t=116978
ping ri ni ta 	平日你他	c=2 d=2.28064e-23 t=116978
ping shen 	評審	c=2 d=7.44864e-65 t=116978
ping shi 	平時	c=16 d=0.0488012 t=116978
ping tai 	平臺	c=25 d=0.173111 t=116978
ping tai shang 	平臺上	c=1 d=3.38502e-110 t=116978
ping tian 	平添	c=1 d=9.34936e-33 t=116978
ping yi 	平移	c=1 d=1.35912e-51 t=116978
ping yi 	評議	c=1 d=9.38603e-79 t=116978
ping yi jin ren 	平易近人	c=1 d=2.00541e-10 t=116978
ping yue 	評閱	c=1 d=2.238e-95 t=116978
ping zheng 	憑證	c=1 d=4.91947e-67 t=116978
po 	破	c=1 d=1.22498e-06 t=116978
po 	頗	c=1 d=2.48569e-124 t=116978
po an 	破案	c=2 d=4.61018e-09 t=116978
po bai 	破百	c=1 d=0.241714 t=116978
po bing 	破冰	c=1 d=1.36e-88 t=116978
po chan 	破產	c=1 d=4.22648e-163 t=116978
po duo 	頗多	c=0 d=0.0995012 t=116978
po gong si 	破公司	c=1 d=1.23112e-05 t=116978
po jie 	破戒	c=1 d=6.11362e-153 t=116978
po jie 	破解	c=2 d=1.12056e-154 t=116978
po lie 	破裂	c=1 d=2.95733e-21 t=116978
po shi 	破事	c=1 d=2.43878e-47 t=116978
po shi 	迫使	c=1 d=3.62306e-86 t=116978
pou xi 	剖析	c=1 d=3.47589e-10 t=116978
pu 	普	c=1 d=3.63464e-06 t=116978
pu bian 	普遍	c=1 d=1.47608e-82 t=116978
pu ji 	普及	c=2 d=1.44149e-08 t=116978
pu ping 	鋪平	c=1 d=3.69149e-159 t=116978
pu su 	樸素	c=2 d=1.17895e-25 t=116978
pu tian 	莆田	c=1 d=2.2909e-17 t=116978
pu tong 	普通	c=14 d=2.87753e-22 t=116978
pu yi 	溥儀	c=1 d=2.69243e-64 t=116978
qi 	七	c=4 d=9.60922e-32 t=116978
qi 	企	c=2 d=7.41478e-09 t=116978
qi 	其	c=57 d=0.211189 t=116978
qi 	器	c=15 d=0.000100034 t=116978
qi 	奇	c=2 d=0.0505395 t=116978
qi 	期	c=4 d=0.0164078 t=116978
qi 	氣	c=6 d=2.3534e-23 t=116978
qi 	琪	c=1 d=2.44851e-35 t=116978
qi 	祁	c=1 d=2.23002e-53 t=116978
qi 	祺	c=2 d=2.72329e-51 t=116978
qi 	起	c=18 d=6.34235e-10 t=116978
qi 	騎	c=1 d=2.69776e-146 t=116978
qi 	鰭	c=2 d=0.00238156 t=116978
qi 	齊	c=1 d=0.451581 t=116978
qi ba 	七八	c=0 d=1.49438e-168 t=116978
qi ba qian 	七八千	c=1 d=1.50187e-167 t=116978
qi bai 	七百	c=1 d=2.34077e-35 t=116978
qi bu lai 	起不來	c=3 d=2.33758e-19 t=116978
qi bu shi 	豈不是	c=10 d=1.61382e-13 t=116978
qi che 	汽車	c=2 d=1.35977e-86 t=116978
qi che 	騎車	c=2 d=2.3655e-41 t=116978
qi cheng 	啓程	c=2 d=4.36216e-123 t=116978
qi chuang 	起牀	c=5 d=4.55625e-47 t=116978
qi ci 	其次	c=4 d=1.20502e-47 t=116978
qi dai 	期待	c=6 d=0.000133021 t=116978
qi dao 	祈禱	c=5 d=4.35405e-06 t=116978
qi dao 	起到	c=11 d=2.43675e-06 t=116978
qi di 	啓迪	c=1 d=3.53337e-144 t=116978
qi dian 	七點	c=0 d=1.04004e-51 t=116978
qi dian 	奇点	c=1 d=3.36151e-175 t=116978
qi dian ban 	七點半	c=1 d=1.04525e-50 t=116978
qi dong 	啓動	c=10 d=0.491644 t=116978
qi dong qi 	起動器	c=1 d=0.489192 t=116978
qi e 	企鵝	c=3 d=1.10626e-41 t=116978
qi fa 	啓發	c=2 d=5.389e-110 t=116978
qi fa shi 	啓發式	c=1 d=1.66508e-116 t=116978
qi fan 	旗幡	c=0 d=8.91005e-56 t=116978
qi fei 	起飛	c=5 d=4.03146e-40 t=116978
qi feng 	起風	c=1 d=1.3182e-103 t=116978
qi feng le 	起风了	c=1 d=1.31162e-103 t=116978
qi fu 	欺負	c=2 d=1.30484e-62 t=116978
qi fu ni 	欺負你	c=2 d=1.24732e-62 t=116978
qi guai 	奇怪	c=5 d=1.60523e-09 t=116978
qi hang 	啓航	c=1 d=1.133e-116 t=116978
qi ji 	奇跡	c=1 d=7.30239e-67 t=116978
qi ji 	契機	c=1 d=4.32197e-73 t=116978
qi jian 	期間	c=9 d=1.97285e-23 t=116978
qi jian 	起見	c=2 d=2.18845e-23 t=116978
qi kan 	期刊	c=2 d=9.91439e-135 t=116978
qi kang 	齊康	c=1 d=2.67047e-144 t=116978
qi lai 	起來	c=28 d=2.19353e-06 t=116978
qi lin 	麒麟	c=3 d=6.54104e-07 t=116978
qi lv 	騎驢	c=1 d=4.52846e-122 t=116978
qi mo 	期末	c=1 d=0.794534 t=116978
qi pa 	奇葩	c=0 d=2.67582e-51 t=116978
qi pa shuo 	奇葩說	c=1 d=2.68923e-50 t=116978
qi qi luo luo 	起起落落	c=1 d=4.84871e-73 t=116978
qi qiao 	蹊蹺	c=1 d=1.14255e-09 t=116978
qi qiu 	氣球	c=7 d=0.0137736 t=116978
qi shi 	其實	c=117 d=0.420585 t=116978
qi shi 	歧視	c=1 d=3.66859e-174 t=116978
qi shi jiu shi 	其實就是	c=1 d=1.62955e-127 t=116978
qi si 	氣死	c=10 d=1.20445e-12 t=116978
qi si bao bao 	氣死寶寶	c=1 d=5.24165e-78 t=116978
qi si wo le 	氣死我了	c=4 d=1.14392e-23 t=116978
qi su 	起訴	c=5 d=3.65076e-58 t=116978
qi ta 	其他	c=142 d=0.262085 t=116978
qi ta ren 	其他人	c=1 d=8.19574e-160 t=116978
qi ti ta 	气提塔	c=1 d=3.6718e-08 t=116978
qi tian 	七天	c=1 d=2.52541e-134 t=116978
qi wang 	期望	c=2 d=1.53376e-32 t=116978
qi wang zhi 	期望值	c=1 d=3.72617e-122 t=116978
qi xi 	七夕	c=1 d=2.81349e-52 t=116978
qi xi 	氣息	c=1 d=2.68997e-112 t=116978
qi xiu 	汽修	c=1 d=7.15101e-144 t=116978
qi ye 	企業	c=92 d=1.21705 t=116978
qi yi 	奇異	c=0 d=4.05714e-36 t=116978
qi yi 	歧義	c=4 d=1.74222e-36 t=116978
qi yu 	其餘	c=6 d=0.00128757 t=116978
qi yuan 	起源	c=0 d=8.48272e-66 t=116978
qi zha 	欺詐	c=2 d=1.25978e-120 t=116978
qi zhi 	氣質	c=1 d=5.07258e-104 t=116978
qi zhi 	起止	c=1 d=7.03707e-14 t=116978
qi zhong 	其中	c=26 d=0.0968105 t=116978
qi zhong zhi yi 	其中之一	c=1 d=1.52944e-87 t=116978
qi zu 	起租	c=0 d=1.44401e-147 t=116978
qi zu ri 	起租日	c=1 d=1.45125e-146 t=116978
qi zuo yong 	起作用	c=1 d=2.19465e-12 t=116978
qia 	恰	c=2 d=3.79123e-112 t=116978
qian 	前	c=61 d=0.0170774 t=116978
qian 	千	c=4 d=2.83031e-149 t=116978
qian 	欠	c=30 d=5.82443e-11 t=116978
qian 	淺	c=1 d=1.43519e-74 t=116978
qian 	簽	c=25 d=0.000599149 t=116978
qian 	謙	c=1 d=1.03274e-26 t=116978
qian 	遷	c=3 d=6.22606e-44 t=116978
qian 	錢	c=85 d=4.65818e-11 t=116978
qian bao 	錢包	c=1 d=2.55851e-52 t=116978
qian cai yang 	欠採樣	c=1 d=1.40505e-89 t=116978
qian ceng 	淺層	c=6 d=4.52904e-06 t=116978
qian chao 	前朝	c=2 d=2.53779e-07 t=116978
qian che 	牽扯	c=1 d=1.15518e-50 t=116978
qian chu 	遷出	c=6 d=6.01345e-77 t=116978
qian dao 	簽到	c=2 d=2.90016e-56 t=116978
qian ding 	簽訂	c=3 d=4.94077e-59 t=116978
qian dong nan 	黔東南	c=1 d=9.92114e-143 t=116978
qian fang 	前方	c=3 d=3.68893e-54 t=116978
qian gu hen 	千古恨	c=1 d=5.72883e-06 t=116978
qian hou 	前後	c=2 d=9.44302e-62 t=116978
qian hou wen 	前後文	c=1 d=2.5309e-42 t=116978
qian ji tian 	前幾天	c=1 d=0.000720907 t=116978
qian jin 	前進	c=3 d=4.19924e-87 t=116978
qian jin nan mai 	千金難買	c=1 d=1.04992e-73 t=116978
qian jing 	前景	c=9 d=5.9216e-13 t=116978
qian kuan 	欠款	c=1 d=7.39691e-130 t=116978
qian le 	欠了	c=1 d=7.5263e-40 t=116978
qian le 	簽了	c=4 d=1.1333e-31 t=116978
qian li 	潛力	c=1 d=4.22186e-62 t=116978
qian liang ge 	前兩個	c=1 d=1.84547e-179 t=116978
qian liang tian 	前兩天	c=8 d=1.91978e-26 t=116978
qian mai 	錢買	c=1 d=4.12688e-59 t=116978
qian mian 	前面	c=17 d=8.70219e-05 t=116978
qian ming 	簽名	c=7 d=7.05505e-44 t=116978
qian qi 	前期	c=7 d=0.458406 t=116978
qian qiang 	牽強	c=1 d=9.25949e-37 t=116978
qian ru 	嵌入	c=9 d=2.4059e-06 t=116978
qian ru 	遷入	c=6 d=4.34378e-44 t=116978
qian ru zi mu 	嵌入字幕	c=1 d=4.72271e-28 t=116978
qian shou 	簽收	c=2 d=2.5751e-61 t=116978
qian shu 	簽署	c=1 d=2.548e-33 t=116978
qian suo wei you 	前所未有	c=1 d=1.99339e-145 t=116978
qian ti 	前提	c=1 d=7.31382e-56 t=116978
qian tian 	前天	c=2 d=2.00324e-56 t=116978
qian tuo 	欠妥	c=1 d=4.52427e-23 t=116978
qian wan 	千萬	c=5 d=1.14883e-44 t=116978
qian wan 	簽完	c=1 d=2.8202e-80 t=116978
qian wang 	前往	c=7 d=0.00502597 t=116978
qian wang na ge 	前往那個	c=1 d=0.00250366 t=116978
qian wen 	前文	c=8 d=1.04993e-19 t=116978
qian wen 	錢雯	c=1 d=5.25667e-141 t=116978
qian wo 	欠我	c=1 d=2.21354e-54 t=116978
qian xi 	前夕	c=1 d=8.12518e-29 t=116978
qian xu 	謙虛	c=1 d=1.94888e-144 t=116978
qian yan 	前沿	c=2 d=3.73252e-142 t=116978
qian yan wan yu 	千言萬語	c=1 d=4.02156e-49 t=116978
qian yi 	遷移	c=21 d=9.64096e-12 t=116978
qian yi ci 	前一次	c=1 d=9.0275e-62 t=116978
qian yi di zhi 	遷移地址	c=2 d=6.97625e-77 t=116978
qian yi mo hua 	潛移默化	c=1 d=9.85415e-34 t=116978
qian yi zhang jie 	錢一張節	c=1 d=4.19553e-106 t=116978
qian yi zheng 	遷移證	c=5 d=3.50153e-67 t=116978
qian yue 	簽約	c=4 d=6.77849e-65 t=116978
qian zai 	潛在	c=6 d=1.08757e-17 t=116978
qian zhao 	千兆	c=1 d=6.75681e-124 t=116978
qian zhe 	前者	c=1 d=4.10799e-152 t=116978
qian zhe 	欠着	c=1 d=9.94472e-24 t=116978
qian zhui 	前綴	c=2 d=2.01386e-31 t=116978
qian zi 	簽字	c=3 d=9.50766e-68 t=116978
qian zi fei 	簽字費	c=2 d=5.58322e-56 t=116978
qiang 	強	c=23 d=0.222017 t=116978
qiang 	搶	c=10 d=2.97765e-27 t=116978
qiang 	槍	c=4 d=3.42029e-44 t=116978
qiang 	牆	c=1 d=4.60223e-165 t=116978
qiang bu dao 	搶不到	c=1 d=1.3705e-149 t=116978
qiang bu le 	搶不了	c=1 d=1.56077e-149 t=116978
qiang dao 	強盜	c=1 d=9.89849e-28 t=116978
qiang diao 	強調	c=5 d=3.733e-26 t=116978
qiang du 	強度	c=2 d=3.05032e-74 t=116978
qiang gou 	搶購	c=1 d=5.82215e-49 t=116978
qiang hua 	強化	c=2 d=6.0546e-39 t=116978
qiang hua xue xi 	強化學習	c=3 d=7.28206e-93 t=116978
qiang hui 	搶回	c=0 d=0.00335406 t=116978
qiang hui lai 	搶回來	c=1 d=0.0337087 t=116978
qiang le 	搶了	c=1 d=5.97278e-26 t=116978
qiang le ge 	搶了個	c=1 d=1.1386e-27 t=116978
qiang piao 	搶票	c=1 d=1.63739e-154 t=116978
qiang po 	強迫	c=0 d=2.88088e-08 t=116978
qiang po zheng 	強迫症	c=1 d=2.81502e-29 t=116978
qiang po zi ji 	強迫自己	c=1 d=2.89532e-07 t=116978
qiang shen jian ti 	強身健體	c=1 d=2.21566e-124 t=116978
qiang xing 	強行	c=5 d=2.33997e-31 t=116978
qiang yin hang 	搶銀行	c=1 d=3.12274e-73 t=116978
qiang zhan 	搶佔	c=1 d=1.25616e-36 t=116978
qiang zhi 	強制	c=6 d=4.45161e-09 t=116978
qiang zhuang 	強壯	c=0 d=2.41806e-124 t=116978
qiang zhuang gou 	強壯狗	c=1 d=2.43018e-123 t=116978
qiao 	巧	c=3 d=1.33198e-41 t=116978
qiao 	敲	c=1 d=3.62576e-36 t=116978
qiao ban 	翹板	c=1 d=0.000769323 t=116978
qiao bu si 	喬布斯	c=1 d=6.88577e-23 t=116978
qiao dai ma 	敲代碼	c=1 d=2.69639e-140 t=116978
qiao dai ma qu 	敲代碼去	c=1 d=2.51401e-169 t=116978
qiao he 	巧合	c=1 d=7.25021e-159 t=116978
qiao hong 	巧紅	c=1 d=6.03672e-63 t=116978
qiao jie 	橋接	c=5 d=1.04739e-74 t=116978
qiao ke li 	巧克力	c=1 d=0.00172937 t=116978
qiao liang 	橋樑	c=1 d=2.34126e-155 t=116978
qiao men 	敲門	c=3 d=1.58121e-49 t=116978
qie 	且	c=15 d=1.08141e-09 t=116978
qie 	切	c=18 d=1.07602e-09 t=116978
qie fen 	切分	c=3 d=2.00746e-22 t=116978
qie ge 	切割	c=7 d=2.88099e-58 t=116978
qie huan 	切換	c=7 d=9.66263e-09 t=116978
qie huan dao 	切換到	c=2 d=0.377192 t=116978
qie pian 	切片	c=3 d=2.54534e-22 t=116978
qin 	勤	c=1 d=5.64052e-176 t=116978
qin 	琴	c=1 d=2.55286e-26 t=116978
qin 	親	c=7 d=0.0199555 t=116978
qin ai 	親愛	c=3 d=5.7835e-147 t=116978
qin fan 	侵犯	c=1 d=2.98746e-52 t=116978
qin lve xing 	侵略性	c=0 d=8.66938e-28 t=116978
qin qi 	親戚	c=2 d=1.0492e-65 t=116978
qin qie 	親切	c=1 d=8.27838e-131 t=116978
qin qin 	親親	c=1 d=4.44829e-59 t=116978
qin ren 	親人	c=5 d=2.58886e-23 t=116978
qin ru 	侵入	c=1 d=2.33679e-15 t=116978
qin shi 	寢室	c=1 d=6.42598e-151 t=116978
qin shu 	親屬	c=2 d=2.42633e-119 t=116978
qin si ban 	勤思班	c=1 d=9.47552e-73 t=116978
qin you 	親友	c=4 d=1.24918e-67 t=116978
qing 	情	c=1 d=8.4467e-16 t=116978
qing 	慶	c=1 d=4.57149e-145 t=116978
qing 	氫	c=1 d=7.64556e-166 t=116978
qing 	清	c=9 d=0.810609 t=116978
qing 	請	c=31 d=0.843665 t=116978
qing 	青	c=4 d=2.86165e-49 t=116978
qing bei 	傾杯	c=1 d=1.16583e-11 t=116978
qing bei 	清北	c=1 d=1.17168e-11 t=116978
qing bu liao 	請不了	c=1 d=4.95139e-143 t=116978
qing cang 	清倉	c=1 d=1.55747e-36 t=116978
qing chu 	清楚	c=19 d=0.0169592 t=116978
qing chu lai 	請出來	c=1 d=1.41148e-172 t=116978
qing chu yi dian 	清楚一點	c=1 d=0.000154549 t=116978
qing dao 	青島	c=3 d=0.00449168 t=116978
qing fang xin 	請放心	c=1 d=4.48154e-29 t=116978
qing gan 	情感	c=2 d=5.07221e-15 t=116978
qing ge 	情歌	c=2 d=3.77373e-36 t=116978
qing ge 	請個	c=0 d=2.64291e-170 t=116978
qing ge jia 	請個家	c=1 d=2.65616e-169 t=116978
qing guo 	請過	c=0 d=5.93111e-121 t=116978
qing guo jia 	請過假	c=1 d=5.96084e-120 t=116978
qing hua 	情話	c=0 d=8.84452e-28 t=116978
qing hua 	慶華	c=3 d=6.20596e-06 t=116978
qing hua 	清華	c=3 d=2.94108e-15 t=116978
qing jia 	請假	c=17 d=0.0202466 t=116978
qing jiao 	請教	c=1 d=6.71669e-54 t=116978
qing jie 	清潔	c=0 d=0.0909373 t=116978
qing jie mo shi 	清潔模式	c=1 d=0.913931 t=116978
qing jing 	清淨	c=1 d=1.45347e-164 t=116978
qing ke 	請客	c=1 d=1.08542e-121 t=116978
qing kong 	清空	c=3 d=1.06491e-34 t=116978
qing kuang 	情況	c=68 d=0.0961029 t=116978
qing kuang xia 	情況下	c=20 d=1.58679e-20 t=116978
qing lang 	情郎	c=1 d=5.74268e-05 t=116978
qing le 	請了	c=1 d=5.44038e-104 t=116978
qing le ge 	請了個	c=1 d=1.90775e-99 t=116978
qing li 	清理	c=5 d=1.14848e-11 t=116978
qing liang 	清涼	c=1 d=1.18374e-102 t=116978
qing liang 	輕量	c=1 d=0.0473589 t=116978
qing ni 	請你	c=2 d=1.68432e-16 t=116978
qing nian 	青年	c=1 d=1.18112e-76 t=116978
qing nin 	請您	c=2 d=4.72577e-65 t=116978
qing nin men 	請您們	c=1 d=2.21378e-114 t=116978
qing qiu 	請求	c=6 d=6.9623e-06 t=116978
qing sao 	清掃	c=2 d=9.74157e-134 t=116978
qing se 	青澀	c=1 d=1.56624e-102 t=116978
qing shen pi 	請審批	c=1 d=1.112e-43 t=116978
qing song 	輕鬆	c=4 d=1.06549e-11 t=116978
qing ti 	青提	c=1 d=7.56145e-36 t=116978
qing wa 	青蛙	c=2 d=1.3942e-86 t=116978
qing wan 	清玩	c=1 d=0.0120342 t=116978
qing wei 	輕微	c=1 d=5.39704e-10 t=116978
qing wen 	請問	c=40 d=0.744532 t=116978
qing wen yi xia 	請問一下	c=8 d=4.10251e-22 t=116978
qing wen yi xia ai 	請問一下愛	c=2 d=1.38126e-94 t=116978
qing wo 	請我	c=2 d=1.36226e-38 t=116978
qing wo chi 	請我吃	c=1 d=1.31421e-38 t=116978
qing xi 	清晰	c=9 d=2.09344e-10 t=116978
qing xiang 	傾向	c=2 d=5.81602e-66 t=116978
qing xiang yu 	傾向於	c=3 d=6.56467e-20 t=116978
qing xin 	清新	c=1 d=0.826959 t=116978
qing xing 	情形	c=2 d=4.45374e-44 t=116978
qing xing 	清醒	c=1 d=1.03102e-124 t=116978
qing yi 	輕易	c=1 d=1.76798e-145 t=116978
qing zang gao yuan 	青藏高原	c=1 d=3.06384e-143 t=116978
qing zhang lao shi 	請張老師	c=1 d=4.61586e-141 t=116978
qing zhu 	慶祝	c=1 d=1.32462e-06 t=116978
qing zhu yi xia 	慶祝一下	c=1 d=6.58972e-06 t=116978
qiong 	窮	c=1 d=5.33266e-104 t=116978
qiu 	求	c=16 d=0.0539337 t=116978
qiu 	球	c=1 d=2.32174e-86 t=116978
qiu 	秋	c=1 d=0.00240549 t=116978
qiu he 	求和	c=6 d=9.9295e-06 t=116978
qiu ku 	秋褲	c=1 d=3.60388e-53 t=116978
qiu qiu 	求求	c=1 d=4.50741e-126 t=116978
qiu qiu 	球球	c=4 d=3.66957e-89 t=116978
qiu qiu ni 	求求你	c=1 d=3.8403e-124 t=116978
qiu qu 	求取	c=2 d=8.18147e-22 t=116978
qiu shi 	求是	c=1 d=6.02665e-14 t=116978
qiu ti 	球體	c=2 d=4.31169e-45 t=116978
qiu zhao 	秋招	c=3 d=0.0474196 t=116978
qiu zhi 	求職	c=1 d=6.73658e-30 t=116978
qu 	區	c=21 d=0.000357992 t=116978
qu 	去	c=432 d=0.711202 t=116978
qu 	取	c=68 d=0.0306538 t=116978
qu 	曲	c=1 d=5.23257e-87 t=116978
qu 	趣	c=3 d=8.13734e-21 t=116978
qu a 	去啊	c=1 d=1.00495e-58 t=116978
qu ba 	去吧	c=9 d=1.57778e-12 t=116978
qu ba qu ba 	去吧去吧	c=1 d=7.9703e-126 t=116978
qu ban li 	去辦理	c=1 d=2.30021e-94 t=116978
qu bao hou shen 	取保候審	c=1 d=3.0291e-09 t=116978
qu bi 	曲臂	c=1 d=2.97611e-66 t=116978
qu bie 	區別	c=25 d=0.0518189 t=116978
qu bu qu 	去不去	c=1 d=0.000311223 t=116978
qu chi 	去吃	c=1 d=9.02057e-44 t=116978
qu chi ba 	去吃吧	c=1 d=8.27918e-44 t=116978
qu chu 	去除	c=9 d=1 t=116978
qu chu 	取出	c=2 d=1.12717e-70 t=116978
qu chu lai 	取出來	c=1 d=2.20717e-167 t=116978
qu dao 	渠道	c=6 d=0.0002139 t=116978
qu de 	取得	c=37 d=0.373618 t=116978
qu de le 	取得了	c=3 d=9.37546e-07 t=116978
qu diao 	去掉	c=7 d=0.375311 t=116978
qu diao le 	去掉了	c=1 d=2.22774e-41 t=116978
qu dong 	驅動	c=9 d=7.01987e-44 t=116978
qu eh si 	去誒死	c=1 d=0.00540733 t=116978
qu fen 	區分	c=13 d=2.50665e-17 t=116978
qu fen du 	區分度	c=1 d=3.99878e-41 t=116978
qu fen kai lai 	區分開來	c=1 d=9.10679e-106 t=116978
qu fen xing 	區分性	c=14 d=1.66433e-52 t=116978
qu ge 	區隔	c=1 d=1.80664e-76 t=116978
qu guan zhu 	去關注	c=1 d=1.00498e-29 t=116978
qu guo 	去過	c=5 d=1.28243e-54 t=116978
qu hua 	區劃	c=1 d=9.5295e-81 t=116978
qu ip 	去iPhone	c=1 d=6.24962e-59 t=116978
qu jian 	區間	c=1 d=2.78463e-19 t=116978
